serie,last_date,cpi_dec21,cpi_dec25,cpi_avg21,cpi_avg25,infl_cierre_pct,infl_prom_pct
CPIAUCSL (Seasonally Adjusted),2026-04-01,280.845,326.031,270.97341666666665,321.9619090909091,16.0893019281098,18.816787658165413
CPIAUCNS (Not Seasonally Adjusted),2026-04-01,278.802,324.054,270.96975,321.943,16.23087352314545,18.8114171415813
