seccion,credit_USD_avg,credit_CRC_avg,credit_total_avg,sigma_C
A,NA,NA,NA,NA
C,NA,NA,NA,NA
F,NA,NA,NA,NA
G,NA,NA,NA,NA
H,NA,NA,NA,NA
I,NA,NA,NA,NA
J,NA,NA,NA,NA
K,NA,NA,NA,NA
L,NA,NA,NA,NA
MN,NA,NA,NA,NA
