codigo,DESCRIPCION,Unidad,Medida,periodo
22294,Mercados de Negociación/Mercado Integrado de liquidez (MIL) colones [3791]/Monto negociado MIL col [3793]/Facilidad Permanente de Crédito [22294]',Colón Costarricense,Millones,Diaria
85976,Tasas de interés/TBP [85971]/Tasa anual máxima de interés [85972]/Todo tipo de crédito (salvo microcréditos) [85973]/Colones [85976]',Porcentaje,,Semestral
85978,Tasas de interés/TBP [85971]/Tasa anual máxima de interés [85972]/Microcréditos [85974]/Colones [85978]',Porcentaje,,Semestral
