metodo,MN,ME,sigma_C,ventana
TOTAL directo (20578/20579),11372849.653191352,7530702.086094749,0.3983749821174689,2024-01-31 a 2025-07-31
Suma reconstruida de sectores,11372849.653191352,7530702.086094749,0.3983749821174689,2024-01-31 a 2025-07-31
