codigo,nombre,descripcion,cuenta,periodo,unidad,medida,Unidad,Medida,freq,familia,node,DESCRIPCION,codigo
37979,NP009,NP009,E05.06.09.01.09.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP009 [37979]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP009 [37979]'),37979
37980,NP010,NP010,E05.06.09.01.10.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP010 [37980]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP010 [37980]'),37980
37981,NP011,NP011,E05.06.09.01.11.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP011 [37981]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP011 [37981]'),37981
37982,NP012,NP012,E05.06.09.01.12.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP012 [37982]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP012 [37982]'),37982
37983,NP013,NP013,E05.06.09.01.13.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP013 [37983]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP013 [37983]'),37983
37984,NP014,NP014,E05.06.09.01.14.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP014 [37984]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP014 [37984]'),37984
37985,NP015,NP015,E05.06.09.01.15.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP015 [37985]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP015 [37985]'),37985
37986,NP016,NP016,E05.06.09.01.16.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP016 [37986]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP016 [37986]'),37986
37987,NP017,NP017,E05.06.09.01.17.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP017 [37987]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP017 [37987]'),37987
37988,NP018,NP018,E05.06.09.01.18.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP018 [37988]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP018 [37988]'),37988
37989,NP019,NP019,E05.06.09.01.19.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP019 [37989]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP019 [37989]'),37989
37990,NP020,NP020,E05.06.09.01.20.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP020 [37990]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP020 [37990]'),37990
37991,NP021,NP021,E05.06.09.01.21.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP021 [37991]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP021 [37991]'),37991
2103,Zona Franca,Zona Franca,E05.07.03.03.00.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB acumuladas [3651]/Por principales productos [1999]/Zona Franca [2103]'),Node('/BCCR/Sector Externo/Exportaciones FOB acumuladas [3651]/Por principales productos [1999]/Zona Franca [2103]'),2103
