codigo,nombre,descripcion,cuenta,periodo,unidad,medida,Unidad,Medida,freq,familia,node,DESCRIPCION
19953,Activos,Activos,E07.37.01.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Activos [19953]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Activos [19953]')
20084,Crédito al sector público no financiero de las otras socieda,Crédito al sector público no financiero de las otras sociedades de depósito,E07.37.00.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]')
20087,Crédito neto,Crédito neto,E07.37.03.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Crédito neto [20087]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Crédito neto [20087]')
20141,Depósitos Transferibles y Otros,Depósitos Transferibles y Otros,E07.37.02.01.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Pasivos [20518]/Depósitos Transferibles y Otros [20141]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Pasivos [20518]/Depósitos Transferibles y Otros [20141]')
20202,Gobierno Central,Gobierno Central,E07.37.01.01.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Activos [19953]/Valores Distintos de Acciones [20695]/Gobierno Central [20202]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Activos [19953]/Valores Distintos de Acciones [20695]/Gobierno Central [20202]')
20203,Gobierno Central,Gobierno Central,E07.37.01.02.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Activos [19953]/Préstamos [20552]/Gobierno Central [20203]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Activos [19953]/Préstamos [20552]/Gobierno Central [20203]')
20204,Gobierno Central,Gobierno Central,E07.37.02.01.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Pasivos [20518]/Depósitos Transferibles y Otros [20141]/Gobierno Central [20204]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Pasivos [20518]/Depósitos Transferibles y Otros [20141]/Gobierno Central [20204]')
20205,Gobierno Central,Gobierno Central,E07.37.02.02.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Pasivos [20518]/Valores [20683]/Gobierno Central [20205]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Pasivos [20518]/Valores [20683]/Gobierno Central [20205]')
20234,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,E07.37.01.01.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Activos [19953]/Valores Distintos de Acciones [20695]/Gobiernos Estatales y Locales [20234]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Activos [19953]/Valores Distintos de Acciones [20695]/Gobiernos Estatales y Locales [20234]')
20235,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,E07.37.01.02.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Activos [19953]/Préstamos [20552]/Gobiernos Estatales y Locales [20235]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero de las otras socieda [20084]/Activos [19953]/Préstamos [20552]/Gobiernos Estatales y Locales [20235]')
