codigo,nombre,descripcion,cuenta,periodo,unidad,medida,Unidad,Medida,freq,familia,node,DESCRIPCION
19864,Gobierno Central,Gobierno Central,E07.36.01.02.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Activos [19952]/Préstamos [20551]/Gobierno Central [19864]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Activos [19952]/Préstamos [20551]/Gobierno Central [19864]')
19952,Activos,Activos,E07.36.01.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Activos [19952]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Activos [19952]')
20085,Crédito al sector público no financiero del banco central,Crédito al sector público no financiero del banco central,E07.36.00.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]')
20086,Crédito neto,Crédito neto,E07.36.03.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Crédito neto [20086]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Crédito neto [20086]')
20140,Depósitos Transferibles y Otros,Depósitos Transferibles y Otros,E07.36.02.01.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Pasivos [20517]/Depósitos Transferibles y Otros [20140]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Pasivos [20517]/Depósitos Transferibles y Otros [20140]')
20199,Gobierno Central,Gobierno Central,E07.36.01.01.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Activos [19952]/Valores Distintos de Acciones [20694]/Gobierno Central [20199]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Activos [19952]/Valores Distintos de Acciones [20694]/Gobierno Central [20199]')
20200,Gobierno Central,Gobierno Central,E07.36.02.01.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Pasivos [20517]/Depósitos Transferibles y Otros [20140]/Gobierno Central [20200]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Pasivos [20517]/Depósitos Transferibles y Otros [20140]/Gobierno Central [20200]')
20201,Gobierno Central,Gobierno Central,E07.36.02.02.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Pasivos [20517]/Valores [20682]/Gobierno Central [20201]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Pasivos [20517]/Valores [20682]/Gobierno Central [20201]')
20230,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,E07.36.01.01.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Activos [19952]/Valores Distintos de Acciones [20694]/Gobiernos Estatales y Locales [20230]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Activos [19952]/Valores Distintos de Acciones [20694]/Gobiernos Estatales y Locales [20230]')
20231,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,E07.36.01.02.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Activos [19952]/Préstamos [20551]/Gobiernos Estatales y Locales [20231]'),Node('/BCCR/Sector Monetario y Financiero/Crédito al sector público no financiero del banco central [20085]/Activos [19952]/Préstamos [20551]/Gobiernos Estatales y Locales [20231]')
