code,status,name,periodicidad,n,bloque_sondeo
95154,ok,Actividades inmobiliarias. Nivel,NA,3,IMAE-CIIU
95155,ok,"Profes, cient, téc, admin y serv apoyo. Nivel",NA,3,IMAE-CIIU
95156,ok,Adm. pública y planes seguridad social. Nivel,NA,3,IMAE-CIIU
95157,ok,Enseñanza y activ. de la salud humana. Nivel,NA,3,IMAE-CIIU
95158,ok,Otras actividades. Nivel,NA,3,IMAE-CIIU
95159,http_400,NA,NA,0,IMAE-CIIU
95160,http_400,NA,NA,0,IMAE-CIIU
95161,ok,Total industria. Nivel,NA,3,IMAE-CIIU
95162,ok,Nivel,NA,3,IMAE-CIIU
95163,http_400,NA,NA,0,IMAE-CIIU
95164,ok,Nivel,NA,3,IMAE-CIIU
95165,http_400,NA,NA,0,IMAE-CIIU
95166,ok,Total industria. Variación mensual,NA,3,IMAE-CIIU
95167,ok,IMAE. Variación mensual,NA,3,IMAE-CIIU
95168,ok,"Agricultura, silvicultura y pesca (A). Variación mensual",NA,3,IMAE-CIIU
95169,ok,Productos exportables. Variación mensual,NA,3,IMAE-CIIU
95170,ok,Productos pecuarios. Variación mensual,NA,3,IMAE-CIIU
95171,ok,Productos agrícolas. Variación mensual,NA,3,IMAE-CIIU
95172,ok,"Con orientación principal al mercado local, V.I",NA,3,IMAE-CIIU
95173,http_400,NA,NA,0,IMAE-CIIU
95174,ok,Resto. Variación mensual,NA,3,IMAE-CIIU
95175,ok,Minas y canteras (B) Variación mensual,NA,3,IMAE-CIIU
95176,ok,"Electricid, agua, serv saneamien (D,E). Variación mensual",NA,3,IMAE-CIIU
95177,ok,Construcción (F). Variación mensual,NA,3,IMAE-CIIU
95178,http_400,NA,NA,0,IMAE-CIIU
95179,http_400,NA,NA,0,IMAE-CIIU
95180,ok,"Comerc por mayor y menor, rep vehí (G). Variación mensual",NA,3,IMAE-CIIU
95181,ok,IMAC. Variación mensual,NA,3,IMAE-CIIU
95182,ok,"Alimentos, bebidas y tabaco. Variación mensual",NA,3,IMAE-CIIU
95183,ok,Productos químicos y farmacéuticos. Variación mensual,NA,3,IMAE-CIIU
95184,ok,Materiales de Construcción . Variación mensual,NA,3,IMAE-CIIU
95185,ok,Vehículos. Variación mensual,NA,3,IMAE-CIIU
95186,http_400,NA,NA,0,IMAE-CIIU
95187,ok,Resto de actividades comerciales. Variación mensual,NA,3,IMAE-CIIU
95188,ok,Aparatos eléctricos y del hogar. Variación mensual,NA,3,IMAE-CIIU
95189,ok,Transporte y almacenamiento (H). Variación mensual,NA,3,IMAE-CIIU
95190,ok,Activ alojamiento y serv de comida (I). Variación mensual,NA,3,IMAE-CIIU
95191,ok,"Edición, prod de contenido, telec y servic de inf  (J, K). Variación mensual",NA,3,IMAE-CIIU
95192,ok,Activid financieras y de seguros (K). Variación mensual,NA,3,IMAE-CIIU
95193,ok,Actividades inmobiliarias. Variación mensual,NA,3,IMAE-CIIU
95194,ok,"Prof, cient, téc, admi, serv apoyo (,N,O). Variación mensual",NA,3,IMAE-CIIU
95195,ok,Adm. pública y planes seguridad social. Variación mensual,NA,3,IMAE-CIIU
95196,ok,Enseñanza y activ. de la salud humana. Variación mensual,NA,3,IMAE-CIIU
95197,ok,"Otras actividades ( S, T, U). Variación mensual",NA,3,IMAE-CIIU
95198,http_400,NA,NA,0,IMAE-CIIU
95199,http_400,NA,NA,0,IMAE-CIIU
95200,http_400,NA,NA,0,IMAE-CIIU
95201,ok,"IMAE, variación interanual",NA,3,IMAE-CIIU
95202,ok,"Agricultura, silvicultura y pesca (A). Variación interanual",NA,3,IMAE-CIIU
95203,ok,Productos exportables. Variación interanual,NA,3,IMAE-CIIU
95204,ok,Productos pecuarios. Variación interanual,NA,3,IMAE-CIIU
95205,ok,Productos agrícolas. Variación interanual,NA,3,IMAE-CIIU
95206,ok,"Con orientación principal al mercado local, V.I",NA,3,IMAE-CIIU
95207,http_400,NA,NA,0,IMAE-CIIU
95208,ok,Resto. Variación interanual,NA,3,IMAE-CIIU
95209,http_400,NA,NA,0,IMAE-CIIU
