sector,anio_inicio,anio_fin,sigma_C_2010,sigma_C_2015,sigma_C_2020,sigma_C_2024,sigma_C_max,sigma_C_min
CONSUMO_TARJETAS,2010,2025,NA,NA,NA,NA,-Inf,Inf
TOTAL,2010,2025,0.45853266082590366,0.49685894004510395,0.4640876033904685,0.40052922188414236,0.5044199896216601,0.3949034915518785
