codigo,DESCRIPCION,Unidad,Medida,periodo
85977,Tasas de interés/TBP [85971]/Tasa anual máxima de interés [85972]/Todo tipo de crédito (salvo microcréditos) [85973]/Dólares [85977]',Porcentaje,,Semestral
85979,Tasas de interés/TBP [85971]/Tasa anual máxima de interés [85972]/Microcréditos [85974]/Dólares [85979]',Porcentaje,,Semestral
